ticket	modified
1	2011-12-07T19:32:18+01:00
1	2011-12-08T14:36:50+01:00
1	2012-11-17T16:05:23+01:00
1	2011-12-07T19:19:23+01:00
2	2014-06-13T17:39:01+02:00
2	2011-12-07T19:25:26+01:00
2	2011-12-07T19:38:14+01:00
2	2011-12-07T21:47:56+01:00
2	2011-12-07T22:15:31+01:00
2	2012-01-22T15:11:28+01:00
2	2011-12-07T19:12:16+01:00
2	2012-04-11T20:45:07+02:00
2	2011-12-07T19:15:58+01:00
2	2012-04-11T20:52:13+02:00
3	2011-12-07T19:18:24+01:00
3	2012-10-13T17:01:16+02:00
3	2011-12-07T19:23:16+01:00
3	2011-12-08T15:00:21+01:00
3	2012-01-07T23:31:43+01:00
4	2012-01-07T23:30:12+01:00
4	2012-10-12T12:51:31+02:00
5	2012-01-07T17:34:21+01:00
5	2011-12-07T19:38:39+01:00
5	2012-01-04T10:05:31+01:00
6	2012-01-07T06:35:50+01:00
6	2011-12-07T19:37:28+01:00
6	2011-12-07T22:41:40+01:00
6	2011-12-08T14:57:33+01:00
7	2011-12-07T21:37:03+01:00
7	2011-12-07T22:27:45+01:00
8	2012-01-07T19:30:23+01:00
9	2011-12-08T15:02:51+01:00
9	2012-01-12T18:08:49+01:00
10	2011-12-08T15:12:29+01:00
11	2011-12-08T15:01:54+01:00
11	2012-01-08T23:32:35+01:00
11	2012-01-10T10:34:59+01:00
11	2012-01-10T15:20:17+01:00
11	2012-06-09T02:54:46+02:00
12	2012-10-08T22:31:09+02:00
12	2012-10-13T16:58:53+02:00
12	2011-12-08T14:41:55+01:00
13	2012-10-08T22:32:34+02:00
13	2012-10-15T02:49:01+02:00
14	2012-01-07T17:43:22+01:00
14	2012-04-27T12:02:55+02:00
14	2012-05-18T19:20:47+02:00
15	2011-12-09T09:39:32+01:00
15	2012-04-19T16:56:02+02:00
15	2012-04-22T16:37:30+02:00
15	2012-05-18T19:29:20+02:00
15	2012-10-02T12:43:52+02:00
16	2012-10-13T17:04:48+02:00
17	2012-01-07T17:45:24+01:00
17	2012-05-18T19:51:37+02:00
18	2012-05-18T19:52:18+02:00
18	2012-01-12T18:35:03+01:00
20	2012-01-07T19:00:30+01:00
20	2013-05-01T21:57:39+02:00
21	2012-01-26T01:34:39+01:00
22	2011-12-09T17:55:11+01:00
22	2012-01-07T05:51:25+01:00
22	2012-01-07T06:06:48+01:00
22	2011-12-08T19:17:43+01:00
22	2011-12-08T19:26:24+01:00
23	2012-01-07T06:32:14+01:00
23	2011-12-12T13:04:18+01:00
24	2012-01-07T19:55:35+01:00
24	2012-01-07T05:37:13+01:00
25	2012-01-29T19:03:21+01:00
26	2011-12-30T17:56:23+01:00
26	2011-12-30T17:56:02+01:00
27	2012-01-07T17:44:24+01:00
27	2012-01-16T15:02:54+01:00
27	2012-01-26T01:20:56+01:00
28	2012-01-07T05:40:43+01:00
28	2012-01-07T05:46:56+01:00
29	2012-01-25T17:25:33+01:00
31	2013-04-04T03:30:33+02:00
31	2013-04-04T06:06:38+02:00
31	2013-04-04T06:16:52+02:00
31	2013-04-04T06:52:55+02:00
31	2012-10-15T12:41:58+02:00
31	2013-04-04T01:48:39+02:00
32	2012-01-11T11:27:40+01:00
34	2012-01-22T14:37:02+01:00
34	2012-01-12T19:00:15+01:00
34	2012-01-22T11:51:49+01:00
34	2012-01-22T13:50:56+01:00
35	2012-05-18T19:22:48+02:00
36	2012-01-07T21:26:57+01:00
37	2012-01-07T21:28:11+01:00
37	2012-01-07T21:28:17+01:00
38	2013-09-09T14:56:18+02:00
38	2012-01-08T00:39:38+01:00
38	2012-01-08T14:52:23+01:00
38	2012-10-15T12:57:38+02:00
39	2012-10-08T22:21:57+02:00
39	2012-10-12T15:15:46+02:00
39	2012-10-12T19:03:06+02:00
39	2013-05-09T16:28:54+02:00
39	2012-10-13T16:59:39+02:00
39	2012-10-13T17:52:05+02:00
40	2012-05-18T19:40:13+02:00
41	2012-01-09T15:17:10+01:00
41	2012-01-09T16:20:15+01:00
41	2012-02-08T14:02:49+01:00
42	2012-01-08T23:56:50+01:00
42	2012-01-10T10:44:51+01:00
42	2012-01-26T01:09:30+01:00
42	2012-01-10T15:19:52+01:00
43	2012-10-13T17:02:24+02:00
45	2012-01-09T18:04:21+01:00
45	2012-01-09T18:46:19+01:00
45	2012-01-10T15:46:59+01:00
45	2012-01-09T20:15:44+01:00
46	2012-01-11T13:28:20+01:00
46	2012-01-12T04:17:46+01:00
48	2012-01-15T15:25:50+01:00
48	2012-01-22T15:14:20+01:00
48	2012-01-12T19:04:37+01:00
49	2012-01-12T10:20:20+01:00
49	2012-01-12T10:26:11+01:00
49	2012-01-12T13:10:21+01:00
49	2012-01-12T19:02:03+01:00
49	2012-01-20T12:38:33+01:00
50	2012-01-12T18:59:44+01:00
51	2012-01-12T13:16:36+01:00
51	2012-03-21T17:20:17+01:00
51	2012-01-12T17:58:26+01:00
52	2012-02-01T02:47:40+01:00
52	2012-01-20T12:33:46+01:00
53	2012-01-26T01:16:05+01:00
53	2012-01-16T17:50:59+01:00
53	2012-01-20T12:32:27+01:00
54	2012-01-17T04:04:58+01:00
54	2012-01-26T01:06:21+01:00
54	2012-01-20T12:35:26+01:00
54	2012-01-22T13:18:01+01:00
