ticket	num_edits	summary	component
178	31	Kurzinterview - Triesch schneiden	Podcast-Wiki
827	22	Tags für Worksheets	POKAL
283	20	Kurzinterview - Philipsen schneiden	Allgemein
406	20	Schokovideo online stellen?	Podcast-Wiki
523	19	Design für ILIAS-Seiten erstellen	ILIAS
782	18	Redesign Podcastwiki (Inhalte der Startseite, ...)	Podcast-Wiki
382	17	HD-Button	Podcast-Wiki
432	17	POKAL-Vorstellungsvideo schneiden	POKAL
98	15	Schokovideo Offstimme aufnehmen	Podcast-Wiki
249	15	Weiterleitung altes ILIAS	ILIAS
278	15	alte Videos	Podcast-Wiki
363	15	Ratzinger Arbeitsgruppenvideo	Allgemein
97	14	oSA-Videoschnitt machen	Podcast-Wiki
801	14	LDAP in Sagenb	POKAL
176	13	Kurzinterview - Roskos schneiden	Podcast-Wiki
331	13	Runterskalierte Videos anbieten	Allgemein
361	13	Semesterstart-Meeting WS12/13 der Podcaster	Podcast-Wiki
425	13	Jour Fixe für Podcaster WS 12/13 finden	Podcast-Wiki
673	13	POTT2: Trac Due Dates wieder reparieren	POTT
779	13	Drehtermin beim Loewe CSC	Allgemein
823	13	JIRA reaktivieren	POKAL
348	12	Suche in ILIAS funktioniert nicht	ILIAS
961	12	Pretty_Print	POKAL
243	11	Sachmittel kaufen	Podcast-Wiki
460	11	Neue (Weihnachts-)Werbung für PWP auf PhysikOnline	Podcast-Wiki
479	11	Flammensonde	Podcast-Wiki
605	11	Designtreffen morgen 22.5. 12 Uhr?	Allgemein
774	11	Adobe Software-Update über Uni	Podcast-Wiki
2	10	LDAP: FreeRadius hat konstante Verbindungsanzahl	ILIAS
187	10	Nächstes Meeting am Donnerstag 29.3.	Podcast-Wiki
217	10	Kurzinterview - Stroth schneiden	Podcast-Wiki
280	10	jingle dingle	Allgemein
328	10	Meeting am Mi. 04.07.12, 13 Uhr	Podcast-Wiki
335	10	Lernbar in PodcastWiki einbinden	Podcast-Wiki
341	10	High Noon Semesterferien 2012 - Meeting	Allgemein
103	9	Wollen wir den oSA-Schnitt selber machen?	Podcast-Wiki
142	9	Fragen für Kurzinterviews	Podcast-Wiki
200	9	Koordination Drehtage Mittwoch und Donnerstag	Podcast-Wiki
303	9	Geschützte HTML-Inhalte im ILIAS sind ohne Anmeldung sichtbar	ILIAS
397	9	Upgrade POTT 1.5	POTT
427	9	Gedanken machen zum POKAL-Vorstellungsvideo-Plott	POKAL
446	9	Webdav testen unter Windows	ILIAS
459	9	PhysikOnline-Logo mit Weihnachtskappe	ILIAS
473	9	Drucklayout für ILIAS	ILIAS
564	9	Interview Wilhelm	Allgemein
584	9	Dropbox-artige Filesharing-Lösung fürs Team	Allgemein
632	9	Test-Umzug ILIAS von VM ins ITP	ILIAS
674	9	POTT2: Mail2Trac bzw Procmail einstellen	POTT
813	9	PhysikOnline Summer of Code 2014	POKAL
917	9	"Ich beantrage eine ""News""-Sparte"	Allgemein
931	9	Rename-Brainstorming PWP etc.	Allgemein
938	9	Weiterrechnen wenn Benutzer das Worksheet verlässt	POKAL
58	8	T-Shirts drucken	Allgemein
114	8	Brainstorming: Kurzvorstellung Arbeitsgruppen	Podcast-Wiki
132	8	Link auf Physik-Online erneuern (Uni Homepage)	ILIAS
349	8	Latex funktioniert nicht	ILIAS
369	8	Ticket-Abhängigkeiten im POTT	POTT
370	8	PWP-Icons für iTunes machen	Podcast-Wiki
415	8	Podcast-Werbung auf Loginseite machen	Podcast-Wiki
426	8	POKAL-Videodreh und -Meeting - Bitte füllt kurz dieses Doodle aus!	Allgemein
513	8	Arbeitsgruppe Mäntele	Podcast-Wiki
532	8	Termin Mi 6.03. statt 14 Uhr um 16 Uhr?	Allgemein
539	8	Sage-Server-Installation revisited	POKAL
580	8	Benutzer altes ILIAS	ILIAS
641	8	LESS serverseitig umwandeln	ILIAS
702	8	Hübsche Startseite verschwindet sobald eingeloggt	ILIAS
731	8	Neue PO3-Startseite	ILIAS
795	8	"Fehlfunktion der ""Willkommen Box"""	ILIAS
807	8	Erstes Semestermeeting - zu besprechen	Allgemein
882	8	Spam im POTT	POTT
901	8	RFC: Umgang mit öffentlichen Arbeitsblättern	POKAL
929	8	Logodiskussion für PodcastWiki-Logo, et al.?	Allgemein
57	7	Termin am Donnerstag bei Prof. Erb	Podcast-Wiki
92	7	Neue Festplatten oder NAS kaufen	Podcast-Wiki
116	7	Termin mit Erb am 22.3. um 10 Uhr	Podcast-Wiki
137	7	2. POKAL-Treffen	POKAL
157	7	Organisation Interviewdreh 14.03.	Podcast-Wiki
193	7	Kurzinterview - Valenti schneiden	Podcast-Wiki
195	7	Regelmäßigen Termin im Semester finden	Podcast-Wiki
242	7	Angebot für Scheinwerfer erstellen	Podcast-Wiki
247	7	Physik Online Logo	Allgemein
325	7	PWP-Videos ruckeln in Chrome	Allgemein
470	7	Podcaster-Meeting am 20.12.	Podcast-Wiki
